Title,Genre,Lead Studio,Audience score %,Rotten Tomatoes %,Year
Zack and Miri Make a Porno,Romance,The Weinstein Company,70,64,2008
Youth in Revolt,Comedy,The Weinstein Company,52,68,2010
You Will Meet a Tall Dark Stranger,Comedy,Independent,35,43,2010
When in Rome,Comedy,Disney,44,15,2010
What Happens in Vegas,Comedy,Fox,72,28,2008
Water For Elephants,Drama,20th Century Fox,72,60,2011
WALL-E,Animation,Disney,89,96,2008
Waitress,Romance,Independent,67,89,2007
Waiting For Forever,Romance,Independent,53,6,2011
Valentine's Day,Comedy,Warner Bros.,54,17,2010
Tyler Perry's Why Did I get Married,Romance,Independent,47,46,2007
Twilight: Breaking Dawn,Romance,Independent,68,26,2011
Twilight,Romance,Summit,82,49,2008
The Ugly Truth,Comedy,Independent,68,14,2009
The Twilight Saga: New Moon,Drama,Summit,78,27,2009
The Time Traveler's Wife,Drama,Paramount,65,38,2009
The Proposal,Comedy,Disney,74,43,2009
The Invention of Lying,Comedy,Warner Bros.,47,56,2009
The Heartbreak Kid,Comedy,Paramount,41,30,2007
The Duchess,Drama,Paramount,68,60,2008
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,81,73,2008
The Back-up Plan,Comedy,CBS,47,20,2010
Tangled,Animation,Disney,88,89,2010
Something Borrowed,Romance,Independent,48,15,2011
She's Out of My League,Comedy,Paramount,60,57,2010
Sex and the City Two,Comedy,Warner Bros.,49,15,2010
Sex and the City 2,Comedy,Warner Bros.,49,15,2010
Sex and the City,Comedy,Warner Bros.,81,49,2008
Remember Me,Drama,Summit,70,28,2010
Rachel Getting Married,Drama,Independent,61,85,2008
Penelope,Comedy,Summit,74,52,2008
P.S. I Love You,Romance,Independent,82,21,2007
Over Her Dead Body,Comedy,New Line,47,15,2008
Our Family Wedding,Comedy,Independent,49,14,2010
One Day,Romance,Independent,54,37,2011
Not Easily Broken,Drama,Independent,66,34,2009
No Reservations,Comedy,Warner Bros.,64,39,2007
Nick and Norah's Infinite Playlist,Comedy,Sony,67,73,2008
New Year's Eve,Romance,Warner Bros.,48,8,2011
My Week with Marilyn,Drama,The Weinstein Company,84,83,2011
Music and Lyrics,Romance,Warner Bros.,70,63,2007
Monte Carlo,Romance,20th Century Fox,50,38,2011
Miss Pettigrew Lives for a Day,Comedy,Independent,70,78,2008
Midnight in Paris,Romence,Sony,84,93,2011
Marley and Me,Comedy,Fox,77,63,2008
Mamma Mia!,Comedy,Universal,76,53,2008
Mamma Mia!,Comedy,Universal,76,53,2008
Made of Honor,Comdy,Sony,61,13,2008
Love Happens,Drama,Universal,40,18,2009
Love & Other Drugs,Comedy,Fox,55,48,2010
Life as We Know It,Comedy,Independent,62,28,2010
License to Wed,Comedy,Warner Bros.,55,8,2007
Letters to Juliet,Comedy,Summit,62,40,2010
Leap Year,Comedy,Universal,49,21,2010
Knocked Up,Comedy,Universal,83,91,2007
Killers,Action,Lionsgate,45,11,2010
Just Wright,Comedy,Fox,58,45,2010
Jane Eyre,Romance,Universal,77,85,2011
It's Complicated,Comedy,Universal,63,56,2009
I Love You Phillip Morris,Comedy,Independent,57,71,2010
High School Musical 3: Senior Year,Comedy,Disney,76,65,2008
He's Just Not That Into You,Comedy,Warner Bros.,60,42,2009
Good Luck Chuck,Comedy,Lionsgate,61,3,2007
Going the Distance,Comedy,Warner Bros.,56,53,2010
Gnomeo and Juliet,Animation,Disney,52,56,2011
Gnomeo and Juliet,Animation,Disney,52,56,2011
Ghosts of Girlfriends Past,Comedy,Warner Bros.,47,27,2009
Four Christmases,Comedy,Warner Bros.,52,26,2008
Fireproof,Drama,Independent,51,40,2008
Enchanted,Comedy,Disney,80,93,2007
Dear John,Drama,Sony,66,29,2010
Beginners,Comedy,Independent,80,84,2011
Across the Universe,romance,Independent,84,54,2007
A Serious Man,Drama,Universal,64,89,2009
A Dangerous Method,Drama,Independent,89,79,2011
27 Dresses,Comedy,Fox,71,40,2009
(500) Days of Summer,comedy,Fox,81,87,2009
